categoria,nombre,descripcion,precio,precio2,etiqueta2,disponible,orden,alergenos,foto
Para picotear,Ensaladilla rusa,,3.65,7.30,Ración,SI,1,"H,P",ensaladilla.png
Para picotear,Ensaladilla de pulpo,,4.15,8.30,Ración,SI,2,"MO,H",
Para picotear,Patatas alioli con langostino,,4.15,8.30,Ración,SI,3,"C,H",langostino.png
Para picotear,Huevas con mayonesa,,4.65,9.30,Ración,SI,4,"P,H",huevas.png
Para picotear,Cóctel de marisco,,4.90,9.80,Ración,SI,5,"C,MO,P",
Montaditos,Pringá,Con patatas pajas,4.00,,,SI,1,G,
Montaditos,Solomillo al whisky con jamón,Con patatas pajas,4.00,,,SI,2,"G,SO",
Montaditos,Piripi,Con patatas pajas,4.00,,,SI,3,G,
Montaditos,Montadito de lomo con salsa verde,Con patatas pajas,4.00,,,SI,4,G,lomo_salsa_verde.png
Montaditos,Perrito caliente,,2.50,,,SI,5,G,perrito.png
Montaditos,Hamburguesa con queso,Con patatas pajas,4.00,,,SI,6,"G,L",
Para entrar en calor,Carrillera en salsa,"Tapa / plato. Con patatas a lo pobre +0,70€. Con puré o arroz basmati +0,45€",4.20,8.40,Plato,SI,1,SO,carrillera.png
Para entrar en calor,Solomillo al whisky,"Tapa / plato. Con patatas a lo pobre +0,70€. Con puré o arroz basmati +0,45€",4.20,8.40,Plato,SI,2,SO,
Para entrar en calor,Albóndigas de chocos,"Tapa / plato. Con patatas a lo pobre +0,70€. Con puré o arroz basmati +0,45€",4.20,8.40,Plato,SI,3,"G,L,MO",
Para entrar en calor,Pollo con miel y mostaza,"Tapa / plato. Con patatas a lo pobre +0,70€. Con puré o arroz basmati +0,45€",4.20,8.40,Plato,SI,4,M,
Para entrar en calor,Rulo de cabra,,4.65,12.30,Plato,SI,5,L,
Para entrar en calor,Champiñones al ajillo con panecillos,,6.30,,,SI,6,G,champinones.png
Para entrar en calor,Bacalao con pisto y panecillos,,6.30,,,SI,7,"P,G",bacalao_pisto.png
Para entrar en calor,Croquetas de puchero,Con patatas pajas,4.60,9.20,Ración,SI,8,"G,L,H",
Para entrar en calor,Croquetas de jamón,Con patatas pajas,4.60,9.20,Ración,SI,9,"G,L,H",
Para entrar en calor,Alitas de pollo a la BBQ,Con patatas pajas,4.60,9.20,Ración,SI,10,G,
Para entrar en calor,Lagrimitas de pollo,Con patatas pajas,4.60,9.20,Ración,SI,11,G,
Para entrar en calor,Tortilla de patatas,,4.15,,,SI,12,H,
Para entrar en calor,Lasaña con pan de ajo,,9.80,,,SI,13,"G,L,H",
Para entrar en calor,Mini brochetas con puré,,5.50,,,SI,14,L,
Sabe a tradición,Queso con nueces,,9.45,,,SI,1,"L,FS",
Sabe a tradición,Jamón con pan de cristal,,11.45,,,SI,2,G,
Sabe a tradición,Crujicoque de queso,,6.75,,,SI,3,"G,L",crujicoque.png
Sabe a tradición,Crujicoque carbonara,,6.75,,,SI,4,"G,L,H",
Sabe a tradición,Crujicoque york,,6.75,,,SI,5,"G,L",
Arroces y pasta con historia,Espaguetis boloñesa,,9.30,,,SI,1,"G,L",
Arroces y pasta con historia,Tallarines a la marinera,,9.70,,,SI,2,"G,MO,C,P",
Arroces y pasta con historia,Arroz negro,,12.75,,,SI,3,"MO,C",arroz_negro.png
Arroces y pasta con historia,Risotto de setas,,12.75,,,SI,4,L,
Arroces y pasta con historia,Fideuá,,12.75,,,SI,5,"G,C,MO,P",
Arroces y pasta con historia,Fideguay,,12.75,,,SI,6,"G,L",fideguay.png
Arroces y pasta con historia,Paella de marisco,,12.75,,,SI,7,"C,MO,P",
Arroces y pasta con historia,Arroz marroquí,,9.75,,,SI,8,FS,
Refresca el cuerpo,Mixta,,7.75,,,SI,1,"H,P",
Refresca el cuerpo,Tomate aliñado,,6.25,,,SI,2,,
Refresca el cuerpo,Pimentada con melva,,8.45,,,SI,3,P,
Refresca el cuerpo,Salmorejo,,5.15,,,SI,4,"G,H",
Sabor a mar,Patatas con choco,,8.25,,,SI,1,MO,
Sabor a mar,Merluza en salsa de gulas y langostino,,13.75,,,SI,2,"P,C",
Sabor a mar,Bacalao a la vizcaína,,13.20,,,SI,3,P,bacalao_vizcaina.png
Sabor a mar,Almejas al ajillo,,10.80,,,SI,4,MO,almejas.png
Sabor a mar,Gambas al brandy,,9.75,,,SI,5,"C,SO",gambas_brandy.png
Sabor a mar,Garbanzos a la marinera,,8.20,,,SI,6,"MO,C,P",
Sabor a mar,Suquet de pescadores,,13.30,,,SI,7,"P,MO,C",
Sabor a mar,Mejillones a la marinera,,6.15,,,SI,8,MO,
Menús que no fallan,Callos de ternera,A elegir: arroz basmati o patatas a lo pobre,8.50,,,SI,1,,callos.png
Menús que no fallan,Costilla a la barbacoa,Con puré de patatas,16.30,,,SI,2,L,costilla_pure.png
Menús que no fallan,Codillo de cerdo,Con patatas a lo pobre y ensalada,16.30,,,SI,3,,
Menús que no fallan,Rabo de toro,Con patatas a lo pobre,14.60,,,SI,4,SO,rabo_de_toro.png
Menús que no fallan,Migas serranas,,11.90,,,SI,5,G,
Menús que no fallan,Pechuga de pollo al ajillo,Con arroz y patatas a lo pobre,13.90,,,SI,6,,
Menús que no fallan,Secreto asado con pimentada,Con puré de patatas,14.20,,,SI,7,L,
Menús que no fallan,Lomo al Roquefort,Con puré o arroz basmati,10.90,,,SI,8,L,
Menús que no fallan,Solomillo de cerdo con salsa a las 5 pimientas,Con puré o arroz basmati,14.90,,,SI,9,L,
Menús que no fallan,Riñones al jerez,Con patatas a lo pobre y arroz basmati,15.10,,,SI,10,SO,
Menús que no fallan,Pollo teriyaki con arroz,,12.15,,,SI,11,"G,S",pollo_teriyaki.png
